s,hbar w0 / kT,hbar w0 (eV),eta_em (eV^-1),eta_act = q/kT (eV^-1),|eta|*DeltaE,eta/benchmark
1,0.1,8.880000e-05,3.549164e-11,6.981982e-11,3.549164e-14,0.5070
2,0.1,8.880000e-05,-6.627066e-10,6.981982e-11,6.627066e-13,9.4672
3,0.1,8.880000e-05,-1.360905e-09,6.981982e-11,1.360905e-12,19.4415
1,0.2,1.776000e-04,3.607280e-11,6.981982e-11,3.607280e-14,0.5153
2,0.2,1.776000e-04,-3.130263e-10,6.981982e-11,3.130263e-13,4.4718
3,0.2,1.776000e-04,-6.621254e-10,6.981982e-11,6.621254e-13,9.4589
1,0.3,2.664000e-04,3.665279e-11,6.981982e-11,3.665279e-14,0.5236
2,0.3,2.664000e-04,-1.960799e-10,6.981982e-11,1.960799e-13,2.8011
3,0.3,2.664000e-04,-4.288127e-10,6.981982e-11,4.288127e-13,6.1259
1,0.5,4.440000e-04,3.780702e-11,6.981982e-11,3.780702e-14,0.5401
2,0.5,4.440000e-04,-1.018326e-10,6.981982e-11,1.018326e-13,1.4548
3,0.5,4.440000e-04,-2.414723e-10,6.981982e-11,2.414723e-13,3.4496
1,0.7,6.216000e-04,3.894985e-11,6.981982e-11,3.894985e-14,0.5564
2,0.7,6.216000e-04,-6.079275e-11,6.981982e-11,6.079275e-14,0.8685
3,0.7,6.216000e-04,-1.605353e-10,6.981982e-11,1.605353e-13,2.2934
1,1.0,8.880000e-04,4.063351e-11,6.981982e-11,4.063351e-14,0.5805
2,1.0,8.880000e-04,-2.918631e-11,6.981982e-11,2.918631e-14,0.4169
3,1.0,8.880000e-04,-9.900613e-11,6.981982e-11,9.900613e-14,1.4144
1,1.5,1.332000e-03,4.332671e-11,6.981982e-11,4.332671e-14,0.6190
2,1.5,1.332000e-03,-3.219840e-12,6.981982e-11,3.219840e-15,0.0460
3,1.5,1.332000e-03,-4.976639e-11,6.981982e-11,4.976639e-14,0.7109
1,2.0,1.776000e-03,4.583794e-11,6.981982e-11,4.583794e-14,0.6548
2,2.0,1.776000e-03,1.092803e-11,6.981982e-11,1.092803e-14,0.1561
3,2.0,1.776000e-03,-2.398188e-11,6.981982e-11,2.398188e-14,0.3426
1,3.0,2.664000e-03,5.020480e-11,6.981982e-11,5.020480e-14,0.7172
2,3.0,2.664000e-03,2.693153e-11,6.981982e-11,2.693153e-14,0.3847
3,3.0,2.664000e-03,3.658258e-12,6.981982e-11,3.658258e-15,0.0523
1,5.0,4.440000e-03,5.632949e-11,6.981982e-11,5.632949e-14,0.8047
2,5.0,4.440000e-03,4.236553e-11,6.981982e-11,4.236553e-14,0.6052
3,5.0,4.440000e-03,2.840156e-11,6.981982e-11,2.840156e-14,0.4057
1,10.0,8.880000e-03,6.284101e-11,6.981982e-11,6.284101e-14,0.8977
2,10.0,8.880000e-03,5.585903e-11,6.981982e-11,5.585903e-14,0.7980
3,10.0,8.880000e-03,4.887704e-11,6.981982e-11,4.887704e-14,0.6982
