row_id,coupler,E_L,E_R,E_unit,T,T_bath,N_tot,V_hat,V_hat_err,baseline,phase_scanned,block
N0,0,0.0,0.0,eV,0.0001,300.0,16000000,1.0001241785382529,0.00025,off,1,0
N1,1,0.0,0.0,eV,0.0001,300.0,16000000,0.9999654339247072,0.00025,on,1,0
N2,1,0.1,0.0,eV,0.0001,300.0,16000000,0.9976650445319852,0.00025,on,1,0
N3,1,0.1,0.1,eV,0.0001,310.0,16000000,1.000380757464102,0.00025,on,1,0
N0,0,0.0,0.0,eV,0.0001,300.0,16000000,0.9999414616563191,0.00025,off,1,1
N1,1,0.0,0.0,eV,0.0001,300.0,16000000,0.9999414657607627,0.00025,on,1,1
N2,1,0.1,0.0,eV,0.0001,300.0,16000000,0.9978979256013369,0.00025,on,1,1
N3,1,0.1,0.1,eV,0.0001,310.0,16000000,1.0001918586822882,0.00025,on,1,1
N0,0,0.0,0.0,eV,0.0001,300.0,16000000,0.9998826314035163,0.00025,off,1,2
N1,1,0.0,0.0,eV,0.0001,300.0,16000000,1.0001356400108965,0.00025,on,1,2
N2,1,0.1,0.0,eV,0.0001,300.0,16000000,0.9973872679742569,0.00025,on,1,2
N3,1,0.1,0.1,eV,0.0001,310.0,16000000,0.9998835675616075,0.00025,on,1,2
