eta,DeltaE_eV,NLL
0.01,0.001,0.7101046303175201
0.01,0.0012742749857031334,0.7101046303175201
0.01,0.001623776739188721,0.7101046303175201
0.01,0.00206913808111479,0.7101046303175201
0.01,0.0026366508987303583,0.7101046303175201
0.01,0.003359818286283781,0.7101046303175201
0.01,0.004281332398719396,0.7101046303175201
0.01,0.00545559478116852,0.7101046303175201
0.01,0.0069519279617756054,0.7101046303175201
0.01,0.008858667904100823,0.7101046303175201
0.01,0.011288378916846888,0.7101046303175201
0.01,0.01438449888287663,0.7101046303175201
0.01,0.018329807108324356,0.7101046303175201
0.01,0.023357214690901212,0.7101046303175201
0.01,0.029763514416313176,0.7101046303175201
0.01,0.0379269019073225,0.7101046303175201
0.01,0.04832930238571752,0.7101046303175201
0.01,0.06158482110660261,0.7101046303175201
0.01,0.07847599703514611,0.7101046303175201
0.01,0.1,0.7101046303175201
0.01268961003167922,0.001,0.7101229747005595
0.01268961003167922,0.0012742749857031334,0.7101229747005595
0.01268961003167922,0.001623776739188721,0.7101229747005595
0.01268961003167922,0.00206913808111479,0.7101229747005595
0.01268961003167922,0.0026366508987303583,0.7101229747005595
0.01268961003167922,0.003359818286283781,0.7101229747005595
0.01268961003167922,0.004281332398719396,0.7101229747005595
0.01268961003167922,0.00545559478116852,0.7101229747005595
0.01268961003167922,0.0069519279617756054,0.7101229747005595
0.01268961003167922,0.008858667904100823,0.7101229747005595
0.01268961003167922,0.011288378916846888,0.7101229747005595
0.01268961003167922,0.01438449888287663,0.7101229747005595
0.01268961003167922,0.018329807108324356,0.7101229747005595
0.01268961003167922,0.023357214690901212,0.7101229747005595
0.01268961003167922,0.029763514416313176,0.7101229747005595
0.01268961003167922,0.0379269019073225,0.7101229747005595
0.01268961003167922,0.04832930238571752,0.7101229747005595
0.01268961003167922,0.06158482110660261,0.7101229747005595
0.01268961003167922,0.07847599703514611,0.7101229747005595
0.01268961003167922,0.1,0.7101229747005595
0.01610262027560939,0.001,0.7101462546258361
0.01610262027560939,0.0012742749857031334,0.7101462546258361
0.01610262027560939,0.001623776739188721,0.7101462546258361
0.01610262027560939,0.00206913808111479,0.7101462546258361
0.01610262027560939,0.0026366508987303583,0.7101462546258361
0.01610262027560939,0.003359818286283781,0.7101462546258361
0.01610262027560939,0.004281332398719396,0.7101462546258361
0.01610262027560939,0.00545559478116852,0.7101462546258361
0.01610262027560939,0.0069519279617756054,0.7101462546258361
0.01610262027560939,0.008858667904100823,0.7101462546258361
0.01610262027560939,0.011288378916846888,0.7101462546258361
0.01610262027560939,0.01438449888287663,0.7101462546258361
0.01610262027560939,0.018329807108324356,0.7101462546258361
0.01610262027560939,0.023357214690901212,0.7101462546258361
0.01610262027560939,0.029763514416313176,0.7101462546258361
0.01610262027560939,0.0379269019073225,0.7101462546258361
0.01610262027560939,0.04832930238571752,0.7101462546258361
0.01610262027560939,0.06158482110660261,0.7101462546258361
0.01610262027560939,0.07847599703514611,0.7101462546258361
0.01610262027560939,0.1,0.7101462546258361
0.020433597178569417,0.001,0.7101757985496707
0.020433597178569417,0.0012742749857031334,0.7101757985496707
0.020433597178569417,0.001623776739188721,0.7101757985496707
0.020433597178569417,0.00206913808111479,0.7101757985496707
0.020433597178569417,0.0026366508987303583,0.7101757985496707
0.020433597178569417,0.003359818286283781,0.7101757985496707
0.020433597178569417,0.004281332398719396,0.7101757985496707
0.020433597178569417,0.00545559478116852,0.7101757985496707
0.020433597178569417,0.0069519279617756054,0.7101757985496707
0.020433597178569417,0.008858667904100823,0.7101757985496707
0.020433597178569417,0.011288378916846888,0.7101757985496707
0.020433597178569417,0.01438449888287663,0.7101757985496707
0.020433597178569417,0.018329807108324356,0.7101757985496707
0.020433597178569417,0.023357214690901212,0.7101757985496707
0.020433597178569417,0.029763514416313176,0.7101757985496707
0.020433597178569417,0.0379269019073225,0.7101757985496707
0.020433597178569417,0.04832930238571752,0.7101757985496707
0.020433597178569417,0.06158482110660261,0.7101757985496707
0.020433597178569417,0.07847599703514611,0.7101757985496707
0.020433597178569417,0.1,0.7101757985496707
0.02592943797404667,0.001,0.710213292834408
0.02592943797404667,0.0012742749857031334,0.710213292834408
0.02592943797404667,0.001623776739188721,0.710213292834408
0.02592943797404667,0.00206913808111479,0.710213292834408
0.02592943797404667,0.0026366508987303583,0.710213292834408
0.02592943797404667,0.003359818286283781,0.710213292834408
0.02592943797404667,0.004281332398719396,0.710213292834408
0.02592943797404667,0.00545559478116852,0.710213292834408
0.02592943797404667,0.0069519279617756054,0.710213292834408
0.02592943797404667,0.008858667904100823,0.710213292834408
0.02592943797404667,0.011288378916846888,0.710213292834408
0.02592943797404667,0.01438449888287663,0.710213292834408
0.02592943797404667,0.018329807108324356,0.710213292834408
0.02592943797404667,0.023357214690901212,0.710213292834408
0.02592943797404667,0.029763514416313176,0.710213292834408
0.02592943797404667,0.0379269019073225,0.710213292834408
0.02592943797404667,0.04832930238571752,0.710213292834408
0.02592943797404667,0.06158482110660261,0.710213292834408
0.02592943797404667,0.07847599703514611,0.710213292834408
0.02592943797404667,0.1,0.710213292834408
0.03290344562312668,0.001,0.7102608783794084
0.03290344562312668,0.0012742749857031334,0.7102608783794084
0.03290344562312668,0.001623776739188721,0.7102608783794084
0.03290344562312668,0.00206913808111479,0.7102608783794084
0.03290344562312668,0.0026366508987303583,0.7102608783794084
0.03290344562312668,0.003359818286283781,0.7102608783794084
0.03290344562312668,0.004281332398719396,0.7102608783794084
0.03290344562312668,0.00545559478116852,0.7102608783794084
0.03290344562312668,0.0069519279617756054,0.7102608783794084
0.03290344562312668,0.008858667904100823,0.7102608783794084
0.03290344562312668,0.011288378916846888,0.7102608783794084
0.03290344562312668,0.01438449888287663,0.7102608783794084
0.03290344562312668,0.018329807108324356,0.7102608783794084
0.03290344562312668,0.023357214690901212,0.7102608783794084
0.03290344562312668,0.029763514416313176,0.7102608783794084
0.03290344562312668,0.0379269019073225,0.7102608783794084
0.03290344562312668,0.04832930238571752,0.7102608783794084
0.03290344562312668,0.06158482110660261,0.7102608783794084
0.03290344562312668,0.07847599703514611,0.7102608783794084
0.03290344562312668,0.1,0.7102608783794084
0.041753189365604,0.001,0.7103212734669234
0.041753189365604,0.0012742749857031334,0.7103212734669234
0.041753189365604,0.001623776739188721,0.7103212734669234
0.041753189365604,0.00206913808111479,0.7103212734669234
0.041753189365604,0.0026366508987303583,0.7103212734669234
0.041753189365604,0.003359818286283781,0.7103212734669234
0.041753189365604,0.004281332398719396,0.7103212734669234
0.041753189365604,0.00545559478116852,0.7103212734669234
0.041753189365604,0.0069519279617756054,0.7103212734669234
0.041753189365604,0.008858667904100823,0.7103212734669234
0.041753189365604,0.011288378916846888,0.7103212734669234
0.041753189365604,0.01438449888287663,0.7103212734669234
0.041753189365604,0.018329807108324356,0.7103212734669234
0.041753189365604,0.023357214690901212,0.7103212734669234
0.041753189365604,0.029763514416313176,0.7103212734669234
0.041753189365604,0.0379269019073225,0.7103212734669234
0.041753189365604,0.04832930238571752,0.7103212734669234
0.041753189365604,0.06158482110660261,0.7103212734669234
0.041753189365604,0.07847599703514611,0.7103212734669234
0.041753189365604,0.1,0.7103212734669234
0.05298316906283707,0.001,0.7103979300111034
0.05298316906283707,0.0012742749857031334,0.7103979300111034
0.05298316906283707,0.001623776739188721,0.7103979300111034
0.05298316906283707,0.00206913808111479,0.7103979300111034
0.05298316906283707,0.0026366508987303583,0.7103979300111034
0.05298316906283707,0.003359818286283781,0.7103979300111034
0.05298316906283707,0.004281332398719396,0.7103979300111034
0.05298316906283707,0.00545559478116852,0.7103979300111034
0.05298316906283707,0.0069519279617756054,0.7103979300111034
0.05298316906283707,0.008858667904100823,0.7103979300111034
0.05298316906283707,0.011288378916846888,0.7103979300111034
0.05298316906283707,0.01438449888287663,0.7103979300111034
0.05298316906283707,0.018329807108324356,0.7103979300111034
0.05298316906283707,0.023357214690901212,0.7103979300111034
0.05298316906283707,0.029763514416313176,0.7103979300111034
0.05298316906283707,0.0379269019073225,0.7103979300111034
0.05298316906283707,0.04832930238571752,0.7103979300111034
0.05298316906283707,0.06158482110660261,0.7103979300111034
0.05298316906283707,0.07847599703514611,0.7103979300111034
0.05298316906283707,0.1,0.7103979300111034
0.06723357536499334,0.001,0.7104952324158521
0.06723357536499334,0.0012742749857031334,0.7104952324158521
0.06723357536499334,0.001623776739188721,0.7104952324158521
0.06723357536499334,0.00206913808111479,0.7104952324158521
0.06723357536499334,0.0026366508987303583,0.7104952324158521
0.06723357536499334,0.003359818286283781,0.7104952324158521
0.06723357536499334,0.004281332398719396,0.7104952324158521
0.06723357536499334,0.00545559478116852,0.7104952324158521
0.06723357536499334,0.0069519279617756054,0.7104952324158521
0.06723357536499334,0.008858667904100823,0.7104952324158521
