lambda1,lambda2,g,m_S_GeV,kappa_stability,delta_kappa_over_kappa
0.01,0.01,0.001,1000,0.0,0.0
0.01,0.01,0.003,1000,0.0,0.0
0.01,0.03,0.001,1000,0.0,0.0
0.01,0.03,0.003,1000,0.0,0.0
0.01,0.1,0.001,1000,0.0,0.0
0.01,0.1,0.003,1000,0.0,0.0
0.01,0.1,0.01,1000,0.0,0.0
0.01,0.3,0.001,1000,0.0,0.0
0.01,0.3,0.003,1000,0.0,0.0
0.01,0.3,0.01,1000,0.0,0.0
0.01,1.0,0.001,1000,0.0,0.0
0.01,1.0,0.003,1000,0.0,0.0
0.01,1.0,0.01,1000,0.0,0.0
0.01,1.0,0.03,1000,0.0,0.0
0.03,0.01,0.001,1000,0.0,0.0
0.03,0.01,0.003,1000,0.0,0.0
0.03,0.03,0.001,1000,0.0,0.0
0.03,0.03,0.003,1000,0.0,0.0
0.03,0.1,0.001,1000,0.0,0.0
0.03,0.1,0.003,1000,0.0,0.0
0.03,0.1,0.01,1000,0.0,0.0
0.03,0.3,0.001,1000,0.0,0.0
0.03,0.3,0.003,1000,0.0,0.0
0.03,0.3,0.01,1000,0.0,0.0
0.03,0.3,0.03,1000,0.0,0.0
0.03,1.0,0.001,1000,0.0,0.0
0.03,1.0,0.003,1000,0.0,0.0
0.03,1.0,0.01,1000,0.0,0.0
0.03,1.0,0.03,1000,0.0,0.0
0.1,0.01,0.001,1000,0.0,0.0
0.1,0.01,0.003,1000,0.0,0.0
0.1,0.01,0.01,1000,0.0,0.0
0.1,0.03,0.001,1000,0.0,0.0
0.1,0.03,0.003,1000,0.0,0.0
0.1,0.03,0.01,1000,0.0,0.0
0.1,0.1,0.001,1000,0.0,0.0
0.1,0.1,0.003,1000,0.0,0.0
0.1,0.1,0.01,1000,0.0,0.0
0.1,0.1,0.03,1000,0.0,0.0
0.1,0.3,0.001,1000,0.0,0.0
0.1,0.3,0.003,1000,0.0,0.0
0.1,0.3,0.01,1000,0.0,0.0
0.1,0.3,0.03,1000,0.0,0.0
0.1,1.0,0.001,1000,0.0,0.0
0.1,1.0,0.003,1000,0.0,0.0
0.1,1.0,0.01,1000,0.0,0.0
0.1,1.0,0.03,1000,0.0,0.0
0.1,1.0,0.1,1000,0.0,0.0
0.3,0.01,0.001,1000,0.0,0.0
0.3,0.01,0.003,1000,0.0,0.0
0.3,0.01,0.01,1000,0.0,0.0
0.3,0.03,0.001,1000,0.0,0.0
0.3,0.03,0.003,1000,0.0,0.0
0.3,0.03,0.01,1000,0.0,0.0
0.3,0.03,0.03,1000,0.0,0.0
0.3,0.1,0.001,1000,0.0,0.0
0.3,0.1,0.003,1000,0.0,0.0
0.3,0.1,0.01,1000,0.0,0.0
0.3,0.1,0.03,1000,0.0,0.0
0.3,0.3,0.001,1000,0.0,0.0
0.3,0.3,0.003,1000,0.0,0.0
0.3,0.3,0.01,1000,0.0,0.0
0.3,0.3,0.03,1000,0.0,0.0
0.3,1.0,0.001,1000,0.0,0.0
0.3,1.0,0.003,1000,0.0,0.0
0.3,1.0,0.01,1000,0.0,0.0
0.3,1.0,0.03,1000,0.0,0.0
0.3,1.0,0.1,1000,0.0,0.0
1.0,0.01,0.001,1000,0.0,0.0
1.0,0.01,0.003,1000,0.0,0.0
1.0,0.01,0.01,1000,0.0,0.0
1.0,0.01,0.03,1000,0.0,0.0
1.0,0.03,0.001,1000,0.0,0.0
1.0,0.03,0.003,1000,0.0,0.0
1.0,0.03,0.01,1000,0.0,0.0
1.0,0.03,0.03,1000,0.0,0.0
1.0,0.1,0.001,1000,0.0,0.0
1.0,0.1,0.003,1000,0.0,0.0
1.0,0.1,0.01,1000,0.0,0.0
1.0,0.1,0.03,1000,0.0,0.0
1.0,0.1,0.1,1000,0.0,0.0
1.0,0.3,0.001,1000,0.0,0.0
1.0,0.3,0.003,1000,0.0,0.0
1.0,0.3,0.01,1000,0.0,0.0
1.0,0.3,0.03,1000,0.0,0.0
1.0,0.3,0.1,1000,0.0,0.0
1.0,1.0,0.001,1000,0.0,0.0
1.0,1.0,0.003,1000,0.0,0.0
1.0,1.0,0.01,1000,0.0,0.0
1.0,1.0,0.03,1000,0.0,0.0
1.0,1.0,0.1,1000,0.0,0.0
0.01,0.01,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.01,0.03,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.01,0.1,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.01,0.3,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.01,1.0,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.03,0.01,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.03,0.03,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.03,0.1,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.03,0.3,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.03,1.0,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.1,0.01,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.1,0.03,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.1,0.1,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.1,0.3,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.1,1.0,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.3,0.01,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.3,0.03,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.3,0.1,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.3,0.3,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.3,1.0,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
1.0,0.01,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
1.0,0.03,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
1.0,0.1,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
1.0,0.3,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
1.0,1.0,0.001,100,1.4581290441209945e-05,1.4581290441209945e-05
0.01,0.01,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.01,0.03,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.01,0.1,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.01,0.3,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.01,1.0,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.03,0.01,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.03,0.03,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.03,0.1,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.03,0.3,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.03,1.0,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.1,0.01,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.1,0.03,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.1,0.1,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.1,0.3,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.1,1.0,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.3,0.01,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.3,0.03,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.3,0.1,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.3,0.3,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.3,1.0,0.001,10,2.916258088241989e-05,2.916258088241989e-05
1.0,0.01,0.001,10,2.916258088241989e-05,2.916258088241989e-05
1.0,0.03,0.001,10,2.916258088241989e-05,2.916258088241989e-05
1.0,0.1,0.001,10,2.916258088241989e-05,2.916258088241989e-05
1.0,0.3,0.001,10,2.916258088241989e-05,2.916258088241989e-05
1.0,1.0,0.001,10,2.916258088241989e-05,2.916258088241989e-05
0.01,0.01,0.001,1,4.374387132362983e-05,4.374387132362983e-05
0.01,0.01,0.003,100,4.374387132362983e-05,4.374387132362983e-05
0.01,0.03,0.001,1,4.374387132362983e-05,4.374387132362983e-05
0.01,0.03,0.003,100,4.374387132362983e-05,4.374387132362983e-05
0.01,0.1,0.001,1,4.374387132362983e-05,4.374387132362983e-05
0.01,0.1,0.003,100,4.374387132362983e-05,4.374387132362983e-05
0.01,0.3,0.001,1,4.374387132362983e-05,4.374387132362983e-05
0.01,0.3,0.003,100,4.374387132362983e-05,4.374387132362983e-05
0.01,1.0,0.001,1,4.374387132362983e-05,4.374387132362983e-05
0.01,1.0,0.003,100,4.374387132362983e-05,4.374387132362983e-05
0.03,0.01,0.001,1,4.374387132362983e-05,4.374387132362983e-05
0.03,0.01,0.003,100,4.374387132362983e-05,4.374387132362983e-05
0.03,0.03,0.001,1,4.374387132362983e-05,4.374387132362983e-05
